,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2019-01-01T22:00:00.000000000Z,110521,1.36404,1.36630,1.35692,1.35846,1.36381,1.36620,1.35681,1.35824,1.36426,1.36639,1.35701,1.35869
1,2019-01-02T22:00:00.000000000Z,148444,1.35864,1.36561,1.34690,1.34870,1.35842,1.36545,1.34680,1.34847,1.35887,1.36579,1.34699,1.34892
2,2019-01-03T22:00:00.000000000Z,110645,1.34894,1.34978,1.33726,1.33728,1.34872,1.34955,1.33678,1.33678,1.34917,1.35000,1.33752,1.33778
3,2019-01-04T22:00:00.000000000Z,2,1.33723,1.33766,1.33723,1.33766,1.33673,1.33716,1.33673,1.33716,1.33773,1.33816,1.33773,1.33816
4,2019-01-06T22:00:00.000000000Z,73293,1.33781,1.33906,1.32786,1.33000,1.33731,1.33884,1.32777,1.32978,1.33831,1.33931,1.32795,1.33023
5,2019-01-07T22:00:00.000000000Z,69507,1.32978,1.33236,1.32674,1.32746,1.32955,1.33224,1.32666,1.32724,1.33000,1.33248,1.32683,1.32769
6,2019-01-08T22:00:00.000000000Z,113213,1.32772,1.32798,1.31794,1.32090,1.32749,1.32775,1.31784,1.32067,1.32794,1.32820,1.31805,1.32112
7,2019-01-09T22:00:00.000000000Z,71398,1.32112,1.32595,1.32016,1.32346,1.32089,1.32585,1.31993,1.32323,1.32134,1.32606,1.32038,1.32368
8,2019-01-10T22:00:00.000000000Z,73629,1.32332,1.32794,1.31832,1.32652,1.32310,1.32783,1.31821,1.32602,1.32355,1.32804,1.31840,1.32702
9,2019-01-13T22:00:00.000000000Z,62453,1.32635,1.32983,1.32530,1.32824,1.32585,1.32973,1.32523,1.32801,1.32685,1.32993,1.32538,1.32846
10,2019-01-14T22:00:00.000000000Z,81990,1.32848,1.32946,1.32260,1.32666,1.32825,1.32937,1.32251,1.32643,1.32870,1.32958,1.32269,1.32688
11,2019-01-15T22:00:00.000000000Z,69465,1.32706,1.32846,1.32350,1.32556,1.32683,1.32837,1.32340,1.32533,1.32728,1.32855,1.32358,1.32578
12,2019-01-16T22:00:00.000000000Z,82991,1.32574,1.33193,1.32484,1.32778,1.32552,1.33185,1.32475,1.32755,1.32597,1.33203,1.32493,1.32800
13,2019-01-17T22:00:00.000000000Z,71408,1.32798,1.32841,1.32312,1.32658,1.32776,1.32833,1.32262,1.32608,1.32821,1.32878,1.32337,1.32708
14,2019-01-20T22:00:00.000000000Z,73550,1.32688,1.33180,1.32514,1.32972,1.32638,1.33171,1.32502,1.32950,1.32738,1.33191,1.32525,1.32995
15,2019-01-21T22:00:00.000000000Z,62307,1.32950,1.33580,1.32930,1.33556,1.32928,1.33572,1.32907,1.33533,1.32973,1.33594,1.32952,1.33578
