,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2019-01-01T22:00:00.000000000Z,35508,1.14649,1.14970,1.13250,1.13447,1.14603,1.14962,1.13243,1.13430,1.14695,1.14977,1.13257,1.13464
1,2019-01-02T22:00:00.000000000Z,54135,1.13431,1.14112,1.13091,1.13942,1.13388,1.14104,1.13051,1.13922,1.13474,1.14119,1.13103,1.13961
2,2019-01-03T22:00:00.000000000Z,41022,1.13930,1.14190,1.13458,1.13951,1.13914,1.14184,1.13449,1.13912,1.13946,1.14198,1.13465,1.13990
3,2019-01-06T22:00:00.000000000Z,25648,1.13974,1.14827,1.13972,1.14748,1.13937,1.14820,1.13935,1.14739,1.14012,1.14834,1.13998,1.14756
4,2019-01-07T22:00:00.000000000Z,25474,1.14773,1.14848,1.14219,1.14417,1.14728,1.14840,1.14208,1.14395,1.14818,1.14856,1.14230,1.14439
5,2019-01-08T22:00:00.000000000Z,39158,1.14417,1.15584,1.14364,1.15426,1.14395,1.15545,1.14320,1.15415,1.14439,1.15631,1.14384,1.15437
6,2019-01-09T22:00:00.000000000Z,32717,1.15420,1.15702,1.14846,1.15002,1.15404,1.15694,1.14839,1.14993,1.15436,1.15709,1.14853,1.15012
7,2019-01-10T22:00:00.000000000Z,31499,1.14996,1.15406,1.14582,1.14687,1.14984,1.15399,1.14575,1.14637,1.15008,1.15418,1.14588,1.14737
8,2019-01-13T22:00:00.000000000Z,25568,1.14609,1.14820,1.14508,1.14684,1.14559,1.14814,1.14501,1.14670,1.14659,1.14827,1.14514,1.14697
9,2019-01-14T22:00:00.000000000Z,37543,1.14684,1.14898,1.13822,1.14130,1.14670,1.14891,1.13812,1.14111,1.14697,1.14906,1.13831,1.14148
10,2019-01-15T22:00:00.000000000Z,25310,1.14114,1.14248,1.13779,1.13914,1.14103,1.14241,1.13768,1.13896,1.14126,1.14254,1.13786,1.13932
11,2019-01-16T22:00:00.000000000Z,25488,1.13940,1.14060,1.13702,1.13892,1.13921,1.14054,1.13694,1.13881,1.13958,1.14068,1.13708,1.13903
12,2019-01-17T22:00:00.000000000Z,22898,1.13884,1.14104,1.13532,1.13620,1.13873,1.14098,1.13526,1.13582,1.13895,1.14111,1.13539,1.13659
13,2019-01-20T22:00:00.000000000Z,17356,1.13616,1.13914,1.13569,1.13658,1.13588,1.13904,1.13562,1.13639,1.13645,1.13924,1.13576,1.13678
14,2019-01-21T22:00:00.000000000Z,20469,1.13672,1.13738,1.13360,1.13596,1.13637,1.13732,1.13352,1.13579,1.13708,1.13745,1.13367,1.13613
15,2019-01-22T22:00:00.000000000Z,20044,1.13606,1.13946,1.13508,1.13807,1.13593,1.13939,1.13499,1.13797,1.13619,1.13952,1.13516,1.13817
16,2019-01-23T22:00:00.000000000Z,39217,1.13811,1.13915,1.12894,1.13050,1.13797,1.13908,1.12887,1.13025,1.13825,1.13922,1.12900,1.13075
17,2019-01-24T22:00:00.000000000Z,31133,1.13034,1.14176,1.13004,1.14057,1.12997,1.14170,1.12988,1.14007,1.13070,1.14183,1.13018,1.14107
18,2019-01-27T22:00:00.000000000Z,20895,1.14016,1.14439,1.13904,1.14262,1.13986,1.14433,1.13897,1.14222,1.14047,1.14445,1.13910,1.14302
19,2019-01-28T22:00:00.000000000Z,26093,1.14292,1.14502,1.14113,1.14328,1.14254,1.14496,1.14106,1.14305,1.14330,1.14509,1.14120,1.14351
20,2019-01-29T22:00:00.000000000Z,29910,1.14318,1.15018,1.14063,1.14800,1.14295,1.15010,1.14056,1.14789,1.14340,1.15026,1.14070,1.14811
21,2019-01-30T22:00:00.000000000Z,23932,1.14800,1.15144,1.14360,1.14474,1.14789,1.15137,1.14335,1.14462,1.14811,1.15150,1.14366,1.14485
22,2019-01-31T22:00:00.000000000Z,20845,1.14478,1.14884,1.14345,1.14562,1.14453,1.14876,1.14338,1.14521,1.14502,1.14891,1.14352,1.14602
23,2019-02-03T22:00:00.000000000Z,14438,1.14521,1.14603,1.14244,1.14376,1.14488,1.14596,1.14237,1.14349,1.14554,1.14610,1.14251,1.14403
24,2019-02-04T22:00:00.000000000Z,14734,1.14376,1.14404,1.14011,1.14042,1.14349,1.14396,1.13992,1.13992,1.14403,1.14433,1.14018,1.14092
25,2019-02-05T22:00:00.000000000Z,14020,1.14050,1.14096,1.13608,1.13618,1.14017,1.14088,1.13601,1.13606,1.14083,1.14103,1.13616,1.13629
26,2019-02-06T22:00:00.000000000Z,14822,1.13638,1.13689,1.13247,1.13394,1.13609,1.13676,1.13232,1.13373,1.13666,1.13739,1.13253,1.13414
27,2019-02-07T22:00:00.000000000Z,12190,1.13402,1.13509,1.13212,1.13224,1.13375,1.13502,1.13202,1.13204,1.13429,1.13516,1.13219,1.13244
28,2019-02-10T22:00:00.000000000Z,13044,1.13202,1.13300,1.12674,1.12756,1.13180,1.13294,1.12667,1.12745,1.13223,1.13307,1.12680,1.12767
29,2019-02-11T22:00:00.000000000Z,12874,1.12767,1.13397,1.12578,1.13260,1.12739,1.13391,1.12572,1.13245,1.12795,1.13403,1.12584,1.13274
30,2019-02-12T22:00:00.000000000Z,15439,1.13264,1.13415,1.12602,1.12607,1.13235,1.13408,1.12595,1.12595,1.13292,1.13423,1.12610,1.12619
31,2019-02-13T22:00:00.000000000Z,21092,1.12602,1.13097,1.12493,1.12954,1.12575,1.13090,1.12480,1.12936,1.12629,1.13104,1.12505,1.12972
32,2019-02-14T22:00:00.000000000Z,17353,1.12948,1.13061,1.12343,1.12946,1.12926,1.13055,1.12336,1.12896,1.12971,1.13067,1.12349,1.12996
33,2019-02-17T22:00:00.000000000Z,9514,1.12926,1.13338,1.12896,1.13106,1.12905,1.13332,1.12880,1.13081,1.12947,1.13345,1.12904,1.13132
34,2019-02-18T22:00:00.000000000Z,17461,1.13118,1.13576,1.12756,1.13406,1.13089,1.13569,1.12749,1.13365,1.13148,1.13583,1.12763,1.13447
35,2019-02-19T22:00:00.000000000Z,18772,1.13419,1.13712,1.13250,1.13370,1.13388,1.13706,1.13243,1.13356,1.13450,1.13718,1.13256,1.13385
36,2019-02-20T22:00:00.000000000Z,21729,1.13378,1.13664,1.13204,1.13343,1.13349,1.13657,1.13174,1.13293,1.13408,1.13672,1.13228,1.13393
37,2019-02-21T22:00:00.000000000Z,14898,1.13385,1.13556,1.13162,1.13342,1.13335,1.13550,1.13154,1.13292,1.13435,1.13562,1.13169,1.13392
38,2019-02-24T22:00:00.000000000Z,13830,1.13359,1.13675,1.13286,1.13574,1.13319,1.13669,1.13248,1.13549,1.13399,1.13682,1.13312,1.13598
39,2019-02-25T22:00:00.000000000Z,17286,1.13616,1.14028,1.13453,1.13892,1.13566,1.14022,1.13446,1.13880,1.13666,1.14035,1.13460,1.13904
40,2019-02-26T22:00:00.000000000Z,16900,1.13894,1.14036,1.13624,1.13695,1.13883,1.14029,1.13607,1.13687,1.13906,1.14042,1.13631,1.13703
