,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2019-01-01T22:00:00.000000000Z,30756,109.590,109.726,108.710,108.887,109.540,109.718,108.702,108.837,109.640,109.736,108.717,108.937
1,2019-01-02T22:00:00.000000000Z,62810,108.861,108.915,104.819,107.662,108.845,108.874,104.769,107.634,108.877,108.965,104.869,107.691
2,2019-01-03T22:00:00.000000000Z,49016,107.672,108.589,107.516,108.516,107.643,108.583,107.508,108.466,107.701,108.598,107.523,108.566
3,2019-01-06T22:00:00.000000000Z,28233,108.520,108.749,108.023,108.716,108.474,108.741,108.015,108.700,108.567,108.757,108.031,108.731
4,2019-01-07T22:00:00.000000000Z,26774,108.716,109.089,108.444,108.732,108.700,109.083,108.424,108.711,108.731,109.096,108.451,108.753
5,2019-01-08T22:00:00.000000000Z,32248,108.754,109.007,107.974,108.160,108.713,108.999,107.965,108.142,108.794,109.015,107.982,108.179
6,2019-01-09T22:00:00.000000000Z,30356,108.143,108.518,107.772,108.426,108.117,108.508,107.765,108.417,108.169,108.528,107.779,108.434
7,2019-01-10T22:00:00.000000000Z,20959,108.434,108.599,108.147,108.514,108.411,108.592,108.140,108.464,108.458,108.607,108.154,108.564
8,2019-01-13T22:00:00.000000000Z,14908,108.555,108.569,107.986,108.160,108.505,108.537,107.979,108.148,108.605,108.610,107.994,108.171
9,2019-01-14T22:00:00.000000000Z,25944,108.160,108.768,108.140,108.700,108.148,108.760,108.119,108.674,108.171,108.776,108.154,108.726
10,2019-01-15T22:00:00.000000000Z,18823,108.692,109.197,108.373,109.089,108.651,109.190,108.366,109.078,108.732,109.204,108.380,109.100
11,2019-01-16T22:00:00.000000000Z,23753,109.096,109.403,108.686,109.258,109.084,109.395,108.680,109.239,109.107,109.423,108.693,109.277
12,2019-01-17T22:00:00.000000000Z,22132,109.242,109.888,109.059,109.774,109.214,109.881,109.051,109.755,109.270,109.895,109.067,109.794
13,2019-01-20T22:00:00.000000000Z,10948,109.734,109.767,109.478,109.670,109.684,109.754,109.470,109.648,109.784,109.793,109.484,109.691
14,2019-01-21T22:00:00.000000000Z,16329,109.666,109.696,109.146,109.374,109.645,109.688,109.139,109.353,109.688,109.709,109.152,109.394
15,2019-01-22T22:00:00.000000000Z,18121,109.370,110.000,109.326,109.614,109.349,109.993,109.311,109.600,109.392,110.007,109.337,109.627
16,2019-01-23T22:00:00.000000000Z,19371,109.628,109.800,109.422,109.640,109.579,109.794,109.415,109.623,109.676,109.807,109.428,109.656
17,2019-01-24T22:00:00.000000000Z,19883,109.640,109.951,109.458,109.550,109.623,109.945,109.450,109.532,109.656,109.957,109.467,109.567
18,2019-01-27T22:00:00.000000000Z,15940,109.549,109.577,109.162,109.346,109.531,109.555,109.156,109.296,109.567,109.599,109.168,109.396
19,2019-01-28T22:00:00.000000000Z,14624,109.354,109.543,109.131,109.386,109.314,109.535,109.124,109.336,109.393,109.551,109.138,109.436
20,2019-01-29T22:00:00.000000000Z,20694,109.343,109.744,108.810,109.040,109.301,109.736,108.803,109.026,109.385,109.751,108.816,109.054
21,2019-01-30T22:00:00.000000000Z,18221,109.042,109.066,108.498,108.868,109.025,109.051,108.491,108.818,109.060,109.085,108.504,108.918
22,2019-01-31T22:00:00.000000000Z,16457,108.890,109.582,108.726,109.502,108.851,109.575,108.718,109.462,108.929,109.588,108.734,109.542
23,2019-02-03T22:00:00.000000000Z,12169,109.522,110.163,109.434,109.900,109.501,110.156,109.426,109.885,109.542,110.170,109.441,109.914
24,2019-02-04T22:00:00.000000000Z,11487,109.890,110.042,109.780,109.964,109.852,110.035,109.771,109.955,109.928,110.048,109.789,109.974
25,2019-02-05T22:00:00.000000000Z,14372,109.971,110.054,109.560,109.979,109.955,110.046,109.553,109.966,109.987,110.065,109.568,109.992
26,2019-02-06T22:00:00.000000000Z,17436,109.990,110.089,109.607,109.818,109.958,110.082,109.601,109.803,110.021,110.096,109.613,109.832
27,2019-02-07T22:00:00.000000000Z,14161,109.818,109.898,109.650,109.754,109.803,109.891,109.643,109.713,109.832,109.904,109.657,109.795
28,2019-02-10T22:00:00.000000000Z,12442,109.779,110.468,109.776,110.380,109.729,110.460,109.729,110.361,109.829,110.475,109.782,110.398
29,2019-02-11T22:00:00.000000000Z,12728,110.366,110.652,110.348,110.482,110.338,110.645,110.328,110.460,110.394,110.658,110.354,110.505
30,2019-02-12T22:00:00.000000000Z,11518,110.474,111.056,110.430,111.004,110.444,111.049,110.408,110.987,110.505,111.063,110.440,111.021
31,2019-02-13T22:00:00.000000000Z,19517,110.988,111.131,110.458,110.486,110.968,111.124,110.436,110.436,111.008,111.138,110.465,110.536
32,2019-02-14T22:00:00.000000000Z,16099,110.449,110.645,110.255,110.456,110.431,110.638,110.227,110.411,110.467,110.652,110.266,110.501
33,2019-02-17T22:00:00.000000000Z,8400,110.466,110.648,110.460,110.614,110.431,110.630,110.418,110.590,110.502,110.669,110.466,110.638
34,2019-02-18T22:00:00.000000000Z,12551,110.606,110.824,110.454,110.606,110.586,110.818,110.447,110.567,110.627,110.831,110.460,110.646
35,2019-02-19T22:00:00.000000000Z,14188,110.633,110.948,110.552,110.854,110.591,110.941,110.518,110.841,110.675,110.955,110.576,110.866
36,2019-02-20T22:00:00.000000000Z,14876,110.850,110.866,110.568,110.707,110.826,110.852,110.559,110.692,110.873,110.884,110.576,110.722
37,2019-02-21T22:00:00.000000000Z,12758,110.707,110.906,110.557,110.682,110.692,110.900,110.550,110.632,110.722,110.912,110.564,110.732
38,2019-02-24T22:00:00.000000000Z,13044,110.660,111.234,110.580,111.056,110.633,111.228,110.573,111.040,110.686,111.241,110.586,111.072
39,2019-02-25T22:00:00.000000000Z,12930,111.036,111.080,110.422,110.585,111.015,111.069,110.414,110.571,111.058,111.128,110.430,110.599
40,2019-02-26T22:00:00.000000000Z,12423,110.580,111.074,110.355,110.994,110.562,111.068,110.347,110.984,110.598,111.081,110.362,111.005
41,2019-02-27T22:00:00.000000000Z,15480,110.998,111.494,110.662,111.384,110.976,111.488,110.654,111.369,111.019,111.501,110.669,111.400
42,2019-02-28T22:00:00.000000000Z,14258,111.392,112.078,111.324,111.903,111.370,112.071,111.318,111.853,111.413,112.085,111.331,111.953
43,2019-03-03T22:00:00.000000000Z,12273,111.866,112.014,111.640,111.744,111.845,112.007,111.634,111.737,111.886,112.020,111.647,111.752
44,2019-03-04T22:00:00.000000000Z,11965,111.741,112.136,111.723,111.888,111.720,112.129,111.693,111.871,111.762,112.144,111.733,111.905
45,2019-03-05T22:00:00.000000000Z,11843,111.862,111.922,111.616,111.770,111.828,111.915,111.608,111.756,111.896,111.928,111.623,111.784
46,2019-03-06T22:00:00.000000000Z,12907,111.760,111.858,111.484,111.584,111.721,111.851,111.477,111.542,111.800,111.864,111.490,111.625
47,2019-03-07T22:00:00.000000000Z,17745,111.575,111.650,110.754,111.169,111.527,111.643,110.704,111.142,111.623,111.670,110.799,111.196
48,2019-03-10T21:00:00.000000000Z,10829,111.022,111.308,110.880,111.214,110.975,111.301,110.873,111.200,111.069,111.314,110.886,111.228
49,2019-03-11T21:00:00.000000000Z,12558,111.196,111.468,111.112,111.345,111.155,111.461,111.105,111.318,111.236,111.474,111.119,111.372
